Name,Description,Requirements,Script
Scabbard (1/2),Get Sacrificial Blade (once),,giveequipment(~Sacrificial Blade@2~|true|false); Gadget.changegadget(self| ~Scabbard (1/2)~| ~Broken Gadget~);
Scabbard+ (1/4),Get Sacrificial Blade+ (once),,giveequipment(~Sacrificial Blade@2+~|true|false); Gadget.changegadget(self| ~Scabbard+ (1/4)~| ~Broken Gadget~);
Scabbard (2/2),Get Sacrificial Blade (once),,giveequipment(~Sacrificial Blade@1~|true|false); Gadget.changegadget(self| ~Scabbard (2/2)~| ~Broken Gadget~);
Scabbard+ (2/4),Get Sacrificial Blade+ (once),,giveequipment(~Sacrificial Blade@1+~|true|false); Gadget.changegadget(self| ~Scabbard+ (2/4)~| ~Broken Gadget~);
Scabbard+ (3/4),Get Sacrificial Blade+ (once),,giveequipment(~Sacrificial Blade@0+~|true|false); Gadget.changegadget(self| ~Scabbard+ (3/4)~| ~Broken Gadget~);
Scabbard+ (4/4),Get Sacrificial Blade+ (once),,giveequipment(~Sacrificial Blade@X+~|true|false); Gadget.changegadget(self| ~Scabbard+ (4/4)~| ~Broken Gadget~);
Deep Breath,Trash all dice[;] gain [heal]3 each,,for (mydice in self.dicepool){ if (mydice.available()){ mydice.removedice(self.screenposition()); attackself(-3); }} // actually an official item that was scrapped - see https://github.com/TerryCavanagh/diceydungeonsbeta/issues/264
Delude,Inflict [vanish]1 vanish,,if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { inflict(~ncr_vanish~); inflict(~ncr_internalvanish~); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); } sfx(~_vanish~);
Strobe Light,Vanish a random amount,,var r = rand([1|1|1|1|2|2|2|3|3|4|5]); if(getstatus(~ncr_vanishall~) < 1 && getstatus(VANISH) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { inflict(~ncr_vanish~|r); inflict(~ncr_internalvanish~|r); var dovanish = new elements.Skill(~Vanishthing~); dovanish.execute(self|target); } else { self.textparticle(~No effect!~); } sfx(~_vanish~);
Hadoken,Do [vanish]3 damage,,attack(3|VANISH); sfx(~_vanish~);
Briar Bush,Gain [thorns]2 thorns,,inflictself(THORNS|2); sfx(~_thorns~);
Mass Deception,Inflict [vanish]Vanish ALL[],,inflict(~ncr_vanishall~); inflict(~ncr_internalvanish~|999); var dovanish = new elements.Skill(~Infvanishthing~); dovanish.execute(self|target); sfx(~_vanish~);
THE [200%]GASDGFET,[200%]THE [300%]SBETST [200%]GDAGET IN DICE DUNGENS,,attack(2); sfxdamage(target|999);
Light Switch,Copy a dice for next turn,,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); }} if(dicelist.length > 0) { shuffle(dicelist); inflictself(~stash~+dicelist[0].basevalue); inflictself(~ncr_lightswitch~+dicelist[0].basevalue); sfx(~magic~); }
Install Evony,In [jinx]1[;] equipment uses raise CPU,,jinx(~Install Evony~|~each equipment use will raise CPU by 1~|~Each equipment use will raise CPU by 1~|~inflict(\~cpuvirus\~| 1); sfx(\~magic\~);~|self|self|1|0); sfx(~_thinghappens~);
impulse 101,In [jinx]1[;] increase Jackpot range,,jinx(~impulse 101~|~increase Jackpot range~|~Increase Jackpot range~|~target.roll_range += 1; sfx(\~useitem\~);~|self|self|1|0); sfx(~_thinghappens~);
Less Fluff,Scrap first equipment now,,var cardlist = []; for(eq in self.equipment){ if(eq.ready && eq != self.getskillcard()) { cardlist.push(eq); } } if(cardlist.length > 0) { Gadget.givegadget(self|cardlist[0].gadget|true); removeequipment(cardlist[0].name); sfx(~_cure~); cardlist.remove(cardlist[0]); self.getskillcard().animate(~flashandshake~); }
Proximity Mine,Reroll dice nearest to this,,var proximy = self.getskillcard().y + (self.getskillcard().height / 2) - 132; var proximx = self.getskillcard().x + (self.getskillcard().width / 2) - 110; var dicelist = []; for(mydice in self.dicepool) { if(mydice.available()) { dicelist.push(mydice); } } if(dicelist.length != 0) { var proxlist = []; for(mydice in dicelist) { proxlist.push(((mydice.x - proximx) * (mydice.x - proximx)) + ((mydice.y - proximy) * (mydice.y - proximy))); if(proxlist[proxlist.length - 1] < 0) { proxlist[proxlist.length - 1] = proxlist[proxlist.length - 1] * -1; } } var min = [0|999999999999999999999]; for(prox in proxlist) { trace(prox); trace(min[1]); trace(~---~); if(prox < min[1]) { min[1] = prox; min[0] = proxlist.indexOf(prox); } } sfx(~diceroll~); dicelist[min[0]].animatereroll(rand([1|2|3|4|5|6]) | self.screenposition()); } else { self.textparticle(~No dice!~); }
Turbo Boost,12 to a random count,,var poss = []; for(eq in self.equipment){if(eq.countdown > 0 && eq.ready && eq.availablethisturn){ poss.push(eq) } }  if(poss.length > 0){ var r = rand(poss); givedice(6); givedice(6); r.assigndice(self.dicepool[self.dicepool.length - 1]); r.assigndice(self.dicepool[self.dicepool.length - 2]); } //basically another ropedart copypaste. should that 2 be a 1 i dono
Vaporizer,Do [sword]5 damage,,attack(5); sfxdamage(target|5);
Parity Flip,Bump odds[;] nudge evens,,var c = 0; if(self.dicepool.length > 0) { sfx(~diceroll~); for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue % 2 == 0){ mydice.animatereroll((mydice.basevalue - 1)| self.screenposition()| c * 0.05); c++; } if (mydice.available() && mydice.basevalue % 2 == 1){ mydice.animatereroll((mydice.basevalue + 1)| self.screenposition()| c * 0.05); c++; } } }
Razor Blade,Split all dice,,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); } } if(dicelist.length > 0) { for(mydice in dicelist) { mydice.removedice(self.screenposition()); givedice(split(mydice.basevalue)); } }
Emulator,Mimic a card's gadget,,var exceptionlist = [~Steal~|~Emulator~|~Broken Gadget~|~Mirror Smash~|~Gadget Roll~|~Scabbard (1/2)~|~Scabbard+ (1/4)~|~Scabbard (2/2)~|~Scabbard+ (2/4)~|~Scabbard+ (3/4)~|~Scabbard+ (4/4)~]; var gadgpool = []; for(eq in self.equipment) { if(eq.ready && eq.skillcard == ~~ && exceptionlist.indexOf(eq.gadget) == -1) { gadgpool.push(eq.gadget); } } shuffle(gadgpool); var emulategadget = new elements.Skill(gadgpool[0]); var j = emulategadget.script.split(~Gadget.changegadget(self| \~~ + emulategadget.name + ~\~~); if(j.length > 1) { emulategadget.script = j.join(~Gadget.changegadget(self| \~Emulator\~~); } emulategadget.execute(self|target); self.getskillcard().animation = []; self.getskillcard().animate(~particleblah~); self.getskillcard().animation[0].addcommand(~textparticle~[;] emulategadget.name + ~!~[;] 16777215);
Gadget Roll,Reroll a dice (uses: 3),,var availdice = []; for (mydice in self.dicepool){ if (mydice.available()){ availdice.push(mydice); } } if(availdice.length > 0) { trace(~hi~); shuffle(availdice); availdice[0].animatereroll(rand([1|2|3|4|5|6]) | self.screenposition()); sfx(~diceroll~); } if(self.getvar(~grolluses~) > 0) { self.setvar(~grolluses~|self.getvar(~grolluses~) - 1); } for(myskill in self.getskillcard().skills) { if(myskill.name == ~Gadget Roll~) { var a = ~~ + self.getvar(~grolluses~); trace(a); var b = ~~ + (self.getvar(~grolluses~) + 1); trace(b); var m = myskill.description.split(b); trace(m); myskill.description = m.join(a); } } if(self.getvar(~grolluses~) > 0) { Gadget.reactivate(self|~Gadget Roll~); }
Mirror Smash,-3 [heart][][;] get dice (uses: 3),,pierceattackself(3); sfx(~_heal~); givedice(); if(self.getvar(~smashuses~) > 0) { self.setvar(~smashuses~|self.getvar(~smashuses~) - 1); } for(myskill in self.getskillcard().skills) { if(myskill.name == ~Mirror Smash~) { var a = ~~ + self.getvar(~smashuses~); trace(a); var b = ~~ + (self.getvar(~smashuses~) + 1); trace(b); var m = myskill.description.split(b); trace(m); myskill.description = m.join(a); if(myskill.description.split(~-2 [~).length > 1) { myskill.description = myskill.description.split(~-2 [~).join(~-3 [~); } } } if(self.getvar(~smashuses~) > 0) { Gadget.reactivate(self|~Mirror Smash~); }
Hustle,Boost limit charge by 2,,self.limitvalue += 2; if(self.limitvalue > self.limitmax) self.limitvalue = self.limitmax; sfx(~_cure~); //jackeea later told me he has a gadget exactly like this but boosts 5 instead of 2. 5 is an awful lot though.. also i'm ncrecc and this is my mod so i get to do whatever i want
Limit Broke old,Revert to initial limit break,,if(self.getvar(~myoldlimit~) != 0) { self.changelimitbreak(self.getvar(~myoldlimit~)); } else { target.textparticle(~yell at ncr if you see this~); } //scrapped because it only made sense with cybernetics and this is also used for loud bird? rule
Limit Roll,Reroll 3 dice,,var availdice = []; for (mydice in self.dicepool){ if (mydice.available()){ availdice.push(mydice); } } if(availdice.length > 0) { dicelist.sort(function(a|b) return -1 * (a.basevalue - b.basevalue)); for(i in 0...3) { if(availdice.length > i) { availdice[i].animatereroll(rand([1|2|3|4|5|6]) | self.screenposition());  } } }
Limit Mirror,-9 [heart][;] roll 3 new dice,,pierceattackself(9); sfx(~_heal~); givedice(rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6]));
Copyright Strike,[lock]Counter with nearest dice,,var proximy = self.getskillcard().y + (self.getskillcard().height / 2) - 132; var proximx = self.getskillcard().x + (self.getskillcard().width / 2) - 110; var dicelist = []; for(mydice in self.dicepool) { if(mydice.available()) { dicelist.push(mydice); } } if(dicelist.length != 0) { var proxlist = []; for(mydice in dicelist) { proxlist.push(((mydice.x - proximx) * (mydice.x - proximx)) + ((mydice.y - proximy) * (mydice.y - proximy))); if(proxlist[proxlist.length - 1] < 0) { proxlist[proxlist.length - 1] = proxlist[proxlist.length - 1] * -1; } } var min = [0|999999999999999999999]; for(prox in proxlist) { trace(prox); trace(min[1]); trace(~---~); if(prox < min[1]) { min[1] = prox; min[0] = proxlist.indexOf(prox); } } inflict(~counter_~ + dicelist[min[0]].basevalue); sfx(~_magic~); } else { self.textparticle(~No dice!~); }
Around the Bend,Roll a full house,,var randlist = [1|2|3|4|5|6]; var dicelist = []; shuffle(randlist); dicelist.push(randlist[0]); dicelist.push(randlist[1]); var giveorder = [0|0|0|1|1]; shuffle(giveorder); givedice([dicelist[giveorder[0]]|dicelist[giveorder[1]]|dicelist[giveorder[2]]|dicelist[giveorder[3]]|dicelist[giveorder[4]]]); //this sucks
Curved Mirror,Get random amt. of dice,,var r = rand([1|2|2|3|3|3|4|4|5]); dicelist = []; for(i in 0...r) { dicelist.push(rand([1|2|3|4|5|6])); } givedice(dicelist);
Rejuvenate,Heal a random amount,,var r = rand([1|2|2|3|3|3|4|4|5]); attackself(-r); sfx(~_heal~);
Vanishthing,Internal[;] you shouldnt be seeing this. btw MATZ YOU ARE A LEGEND,,var vanishshitA = ~var t = 0; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\~pushed something\~); } trace(dicelist); trace(baselist); } while(getstatusself(\~ncr_internalvanish\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\~disappear\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\~vanished something\~); trace(getstatusself(\~ncr_internalvanish\~)); if(getstatusself(\~ncr_internalvanish\~) > 0) { removestatusself(\~ncr_internalvanish\~); trace(\~removed vanish\~); } trace(\~----\~); } } var vanishthing = \~if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\\\~pushed something\\\~); } trace(dicelist); trace(baselist); } while(getstatusself(\\\~ncr_internalvanish\\\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\\\~disappear\\\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\\\~vanished something\\\~); trace(getstatusself(\\\~ncr_internalvanish\\\~)); if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { removestatusself(\\\~ncr_internalvanish\\\~); trace(\\\~removed vanish\\\~); } trace(\\\~----\\\~); } } /*NCR VANISHC END*/ }\~; if(self.getskillcard() != null) { if(self.getskillcard().skills.length > 0) { for(myskill in self.getskillcard().skills) { if(myskill.script.split(vanishthing).length <= 1) { myskill.script = myskill.script + vanishthing; } } } } /*NCR VANISHA END*/~; var vanishshitB = ~var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\~pushed something\~); } trace(dicelist); trace(baselist); } while(getstatusself(\~ncr_internalvanish\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\~disappear\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\~vanished something\~); trace(getstatusself(\~ncr_internalvanish\~)); if(getstatusself(\~ncr_internalvanish\~) > 0) { removestatusself(\~ncr_internalvanish\~); trace(\~removed vanish\~); } trace(\~----\~); } } var vanishthing = \~if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\\\~pushed something\\\~); } trace(dicelist); trace(baselist); } while(getstatusself(\\\~ncr_internalvanish\\\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\\\~disappear\\\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\\\~vanished something\\\~); trace(getstatusself(\\\~ncr_internalvanish\\\~)); if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { removestatusself(\\\~ncr_internalvanish\\\~); trace(\\\~removed vanish\\\~); } trace(\\\~----\\\~); } } /*NCR VANISHC END*/ }\~; if(self.getskillcard() != null) { if(self.getskillcard().skills.length > 0) { for(myskill in self.getskillcard().skills) { if(myskill.script.split(vanishthing).length <= 1) { myskill.script = myskill.script + vanishthing; } } } } /*NCR VANISHB END*/~; var vanishthing = ~if(getstatusself(\~ncr_internalvanish\~) > 0) { var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\~pushed something\~); } trace(dicelist); trace(baselist); } while(getstatusself(\~ncr_internalvanish\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\~disappear\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\~vanished something\~); trace(getstatusself(\~ncr_internalvanish\~)); if(getstatusself(\~ncr_internalvanish\~) > 0) { removestatusself(\~ncr_internalvanish\~); trace(\~removed vanish\~); } trace(\~----\~); } } /*NCR VANISHC END*/ }~; if(target.getskillcard() != null) { if(target.getskillcard().skills.length > 0) { for(myskill in target.getskillcard().skills) { if(myskill.script.split(vanishthing).length <= 1) { myskill.script = myskill.script + vanishthing; } } } } var t = 0; var baselist = []; var dicelist = []; if(target.dicepool.length > 0) { for (mydice in target.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(~pushed something~); } trace(dicelist); trace(baselist); } while(getstatus(~ncr_internalvanish~) > 0 && dicelist.length > 0) { dicelist[0].animate(~disappear~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(~vanished something~); trace(getstatus(~ncr_internalvanish~)); if(getstatus(~ncr_internalvanish~) > 0) { removestatus(~ncr_internalvanish~); trace(~removed vanish~); } trace(~----~); } } ; if (target.scriptonstartturn.split(vanishshitA).length <= 1) { target.scriptonstartturn = vanishshitA + target.scriptonstartturn; } if(target.equipment.length > 0) { for(eq in target.equipment) { if(eq.scriptonanyequipmentuse.split(vanishshitB).length <= 1) { eq.scriptonanyequipmentuse = vanishshitB + eq.scriptonanyequipmentuse; } } } while (getstatus(~ncr_vanish~) < getstatus(~ncr_internalvanish~)) { removestatus(~ncr_internalvanish~); } // that bit at the end is an edgecase with alt reduce
Infvanishthing,Still internal why are you looking at this,,var vanishshitA = ~var t = 0; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\~pushed something\~); } trace(dicelist); trace(baselist); } while(getstatusself(\~ncr_internalvanish\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\~disappear\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\~vanished something\~); trace(getstatusself(\~ncr_internalvanish\~)); if(getstatusself(\~ncr_internalvanish\~) > 0) { removestatusself(\~ncr_internalvanish\~); trace(\~removed vanish\~); } trace(\~----\~); } } var vanishthing = \~if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\\\~pushed something\\\~); } trace(dicelist); trace(baselist); } while(getstatusself(\\\~ncr_internalvanish\\\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\\\~disappear\\\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\\\~vanished something\\\~); trace(getstatusself(\\\~ncr_internalvanish\\\~)); if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { removestatusself(\\\~ncr_internalvanish\\\~); trace(\\\~removed vanish\\\~); } trace(\\\~----\\\~); } } /*NCR VANISHC END*/ }\~; if(self.getskillcard() != null) { if(self.getskillcard().skills.length > 0) { for(myskill in self.getskillcard().skills) { if(myskill.script.split(vanishthing).length <= 1) { myskill.script = myskill.script + vanishthing; } } } } /*NCR VANISHA END*/~; var vanishshitB = ~var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\~pushed something\~); } trace(dicelist); trace(baselist); } while(getstatusself(\~ncr_internalvanish\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\~disappear\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\~vanished something\~); trace(getstatusself(\~ncr_internalvanish\~)); if(getstatusself(\~ncr_internalvanish\~) > 0) { removestatusself(\~ncr_internalvanish\~); trace(\~removed vanish\~); } trace(\~----\~); } } var vanishthing = \~if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\\\~pushed something\\\~); } trace(dicelist); trace(baselist); } while(getstatusself(\\\~ncr_internalvanish\\\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\\\~disappear\\\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\\\~vanished something\\\~); trace(getstatusself(\\\~ncr_internalvanish\\\~)); if(getstatusself(\\\~ncr_internalvanish\\\~) > 0) { removestatusself(\\\~ncr_internalvanish\\\~); trace(\\\~removed vanish\\\~); } trace(\\\~----\\\~); } } /*NCR VANISHC END*/ }\~; if(self.getskillcard() != null) { if(self.getskillcard().skills.length > 0) { for(myskill in self.getskillcard().skills) { if(myskill.script.split(vanishthing).length <= 1) { myskill.script = myskill.script + vanishthing; } } } } /*NCR VANISHB END*/~; var vanishthing = ~if(getstatusself(\~ncr_internalvanish\~) > 0) { var t = 0.35; var baselist = []; var dicelist = []; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(\~pushed something\~); } trace(dicelist); trace(baselist); } while(getstatusself(\~ncr_internalvanish\~) > 0 && dicelist.length > 0) { dicelist[0].animate(\~disappear\~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(\~vanished something\~); trace(getstatusself(\~ncr_internalvanish\~)); if(getstatusself(\~ncr_internalvanish\~) > 0) { removestatusself(\~ncr_internalvanish\~); trace(\~removed vanish\~); } trace(\~----\~); } } /*NCR VANISHC END*/ }~; if(target.getskillcard() != null) { if(target.getskillcard().skills.length > 0) { for(myskill in target.getskillcard().skills) { if(myskill.script.split(vanishthing).length <= 1) { myskill.script = myskill.script + vanishthing; } } } } var t = 0; var baselist = []; var dicelist = []; if(target.dicepool.length > 0) { for (mydice in target.dicepool){ if (mydice.available()) { if(baselist.indexOf(mydice.basevalue) == -1 ){ baselist.push(mydice.basevalue); } else { dicelist.push(mydice); } trace(~pushed something~); } trace(dicelist); trace(baselist); } while(getstatus(~ncr_internalvanish~) > 0 && dicelist.length > 0) { dicelist[0].animate(~disappear~|t); t += 0.1; dicelist.shift(); baselist.shift(); trace(~vanished something~); trace(getstatus(~ncr_internalvanish~)); if(getstatus(~ncr_internalvanish~) > 0) { removestatus(~ncr_internalvanish~); trace(~removed vanish~); } trace(~----~); } } ; if (target.scriptonstartturn.split(vanishshitA).length <= 1) { target.scriptonstartturn = vanishshitA + target.scriptonstartturn; } if(target.equipment.length > 0) { for(eq in target.equipment) { if(eq.scriptonanyequipmentuse.split(vanishshitB).length <= 1) { eq.scriptonanyequipmentuse = vanishshitB + eq.scriptonanyequipmentuse; } } } if (getstatus(~ncr_vanishall~) < 1 && getstatus(~ncr_vanishlegacy~) < 1) { removestatus(~ncr_internalvanish~|ALL); } // that bit at the end is an edgecase with alt reduce
